epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,209.856,2.24288,1.55213,1.04027,0.51264,0.48546,0.46244,0.29038,2.22777,1.4746,1.08247,0.000385073,0.000385073,0.000385073
68,212.719,2.17507,1.49866,1.04967,0.50573,0.47725,0.46478,0.2869,2.21515,1.46594,1.07607,0.000374074,0.000374074,0.000374074
69,215.587,2.21796,1.57017,1.06405,0.5274,0.47922,0.46512,0.28435,2.21124,1.45675,1.06901,0.000363075,0.000363075,0.000363075
70,218.388,2.14519,1.52477,1.02875,0.5274,0.47922,0.46512,0.28435,2.21124,1.45675,1.06901,0.000352076,0.000352076,0.000352076
71,221.105,2.1325,1.54445,1.01735,0.52399,0.47602,0.45098,0.27209,2.2322,1.45772,1.06676,0.000341077,0.000341077,0.000341077
72,223.801,2.12953,1.4905,1.01058,0.51708,0.47586,0.44877,0.27236,2.2381,1.46959,1.06387,0.000330078,0.000330078,0.000330078
73,226.472,2.09328,1.53786,1.01326,0.50825,0.4865,0.44857,0.27731,2.23935,1.47401,1.06334,0.000319079,0.000319079,0.000319079
74,229.169,2.08988,1.52454,1.00259,0.53365,0.48216,0.45065,0.27663,2.23246,1.47128,1.06433,0.00030808,0.00030808,0.00030808
75,232.062,2.14405,1.49414,1.01304,0.54282,0.48571,0.45386,0.28028,2.21357,1.46434,1.06366,0.000297081,0.000297081,0.000297081
76,234.742,2.14084,1.54654,1.05144,0.55435,0.47896,0.46517,0.28702,2.19943,1.45958,1.06647,0.000286083,0.000286083,0.000286083
77,237.572,2.12895,1.51345,1.0283,0.54573,0.47292,0.46697,0.28594,2.19818,1.46228,1.07234,0.000275084,0.000275084,0.000275084
78,240.411,2.07001,1.48676,1.01905,0.54573,0.47292,0.46697,0.28594,2.19818,1.46228,1.07234,0.000264085,0.000264085,0.000264085
79,243.361,2.17778,1.47819,1.01897,0.56929,0.47188,0.4688,0.28179,2.20679,1.46525,1.07496,0.000253086,0.000253086,0.000253086
80,246.159,2.0959,1.50449,1.02287,0.58096,0.46947,0.46826,0.27855,2.21758,1.4645,1.07642,0.000242087,0.000242087,0.000242087
81,248.885,2.07443,1.46934,1.01241,0.57679,0.46463,0.47146,0.28524,2.22312,1.46174,1.07668,0.000231088,0.000231088,0.000231088
82,251.707,2.10185,1.44985,1.02723,0.58182,0.46592,0.46825,0.28437,2.22166,1.45451,1.0765,0.000220089,0.000220089,0.000220089
83,254.464,2.07431,1.48023,1.01565,0.57217,0.45207,0.45978,0.28426,2.21482,1.44434,1.07693,0.00020909,0.00020909,0.00020909
84,257.226,2.08846,1.43302,1.01175,0.5552,0.45504,0.45777,0.28916,2.20414,1.44226,1.0757,0.000198091,0.000198091,0.000198091
85,260.142,2.13117,1.42173,1.01121,0.53083,0.46044,0.45553,0.28879,2.2053,1.4447,1.07669,0.000187092,0.000187092,0.000187092
86,263.081,2.19256,1.48794,1.02939,0.53083,0.46044,0.45553,0.28879,2.2053,1.4447,1.07669,0.000176094,0.000176094,0.000176094
87,266.095,2.12134,1.44176,1.01076,0.49417,0.49679,0.45542,0.29079,2.20246,1.45194,1.07629,0.000165095,0.000165095,0.000165095
88,268.989,2.07177,1.44247,1.01569,0.50419,0.49995,0.46241,0.28994,2.19477,1.44532,1.07609,0.000154096,0.000154096,0.000154096
